id,measure_count,note_count,8th,qtr,half,16th,other,per_measure_sig,side_by_side,suspicious
354,3,20,20,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0354.png,
355,3,20,15,0,0,0,5,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0355.png,
356,3,20,14,0,0,0,6,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0356.png,
357,3,15,10,5,0,0,0,"1.0,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5",/tmp/bml-book-compare/0357.png,
358,3,15,9,3,0,0,3,"0.6666666666666666,0.3333333333333333,0.5,0.6666666666666666,0.5,0.5 | 1.0,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5",/tmp/bml-book-compare/0358.png,
359,3,15,8,3,0,0,4,"0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.5,0.5 | 1.0,0.5,0.5,1.0,0.5,0.5 | 1.0,0.5,0.5",/tmp/bml-book-compare/0359.png,
360,5,34,22,4,0,8,0,"0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.25,0.25,1.0,0.5,0.25,0.25,1.0 | 0.5,0.25,0.25,1.0,0.5,0.25,0.25,1.0",/tmp/bml-book-compare/0360.png,
361,3,15,12,3,0,0,0,"0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0361.png,
362,3,15,12,3,0,0,0,"0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0362.png,
363,3,24,18,0,0,0,6,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0363.png,
364,7,36,33,3,0,0,0,"0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0364.png,
365,10,63,41,7,0,0,15,"0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0365.png,
366,5,26,13,4,0,0,9,"0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.5,1.0,0.5 | 1.0",/tmp/bml-book-compare/0366.png,
367,3,21,18,3,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0367.png,
368,2,16,10,0,0,0,6,"0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0368.png,
369,4,26,21,2,0,0,3,"0.5,0.5,0.5,0.5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5 | 0.5,0.5,0.5,0.5,1.0 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,1.0",/tmp/bml-book-compare/0369.png,
370,6,48,48,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0370.png,
371,7,56,56,0,0,0,0,"0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5 | 0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5",/tmp/bml-book-compare/0371.png,
