id,error,measure_count,pitched_count,rest_count,chord_count,time_sig,key_sig,empty_measures,max_notes_per_measure,suspicious
279,,8,52,0,0,,,0,8,
280,,4,16,0,0,,,0,7,
281,,5,25,0,0,,,0,8,
282,,4,24,0,0,,,0,8,
283,,4,27,0,0,,,0,8,
284,,4,30,0,0,,,0,9,
285,,4,21,0,0,,,0,8,
286,,3,14,0,0,,,0,7,
287,,5,30,0,0,,,0,8,
288,,4,18,0,0,,,0,8,
289,,4,18,0,0,,,0,8,
290,,5,36,0,0,,,0,8,
291,,14,80,0,0,,,0,8,
292,,3,21,0,0,,,0,7,
293,,5,24,0,0,,,0,8,
294,,2,13,0,0,,,0,8,
295,,4,22,0,0,,,0,7,
296,,6,30,0,0,,,0,5,
297,,4,26,0,0,,,0,8,
298,,6,30,0,0,,,0,7,
299,,4,18,0,0,,,0,8,
300,,5,30,0,0,,,0,7,
301,,14,63,0,0,,,0,8,
302,,14,64,0,0,,,0,8,
303,,10,35,0,0,,,0,4,
304,,6,27,0,0,,,0,8,
305,,6,31,0,1,,<music21.key.KeySignature of 1 flat>,0,8,
306,,5,24,0,0,,,0,8,
307,,10,45,0,0,,,0,8,
308,,4,22,0,0,,,0,8,
309,,6,32,0,0,,,0,8,
310,,4,32,0,0,,,0,8,
311,,4,30,0,0,,,0,8,
312,,8,30,0,0,,,0,8,
313,,4,22,0,0,,,0,6,
314,,5,24,0,0,,,0,8,
315,,3,21,0,0,,,0,7,
316,,3,24,0,0,,,0,8,
317,,3,24,0,0,,,0,8,
318,,4,24,0,0,,,0,6,
319,,4,24,0,0,,,0,6,
320,,3,24,0,0,,,0,8,
321,,4,22,0,0,,,0,8,
322,,3,22,0,0,,,0,8,
323,,6,42,0,0,,,0,7,
324,,3,17,0,0,,,0,8,
325,,8,32,0,0,,,0,8,
326,,6,32,0,0,,,0,8,
327,,8,28,0,0,,,0,7,
328,,12,67,0,0,,,0,10,
329,,9,52,0,0,,,0,8,
330,,5,24,0,0,,,0,8,
331,,4,28,0,0,,,0,7,
332,,2,8,0,0,<music21.meter.TimeSignature 4/4>,,0,4,
333,,2,13,0,0,,,0,8,
334,,2,24,0,0,,,0,12,
335,,3,17,0,0,,,0,8,
336,,3,24,0,0,,,0,8,
337,,4,21,0,0,,,0,6,
338,,2,24,0,0,,,0,12,
339,,4,32,0,0,,,0,8,
340,,4,25,0,0,,,0,8,
341,,2,12,0,0,,,0,8,
342,,2,12,0,0,,,0,8,
343,,2,24,0,0,,,0,12,
344,,2,17,0,0,,,0,9,
345,,4,32,0,0,,,0,8,
346,,3,11,0,1,<music21.meter.TimeSignature 4/4>,,0,6,
347,,4,26,0,0,,,0,8,
348,,3,20,0,0,,,0,8,
349,,3,20,0,0,,,0,8,
350,,3,20,0,0,,,0,8,
351,,3,20,0,0,,,0,8,
352,,3,20,0,0,,,0,8,
353,,3,20,0,0,,,0,8,
354,,3,20,0,0,,,0,8,
355,,3,20,0,0,,,0,8,
356,,3,20,0,0,,,0,8,
357,,3,15,0,0,,,0,6,
358,,3,15,0,0,,,0,6,
359,,3,15,0,0,,,0,6,
